"","year","date","BAp_2534"
"1",1960,"1960-01-01",0.238995227752286
"2",1970,"1970-01-01",0.218703096762337
"3",1980,"1980-01-01",0.288164620190605
"4",1990,"1990-01-01",0.361296789306803
"5",2000,"2000-01-01",0.387490564497564
"6",2001,"2001-01-01",0.38356864658908
"7",2002,"2002-01-01",0.377432795397932
"8",2003,"2003-01-01",0.387380587550279
"9",2004,"2004-01-01",0.384735737754272
"10",2005,"2005-01-01",0.388609649230315
"11",2006,"2006-01-01",0.414795952597221
"12",2007,"2007-01-01",0.420958618992918
"13",2008,"2008-01-01",0.429751015157523
"14",2009,"2009-01-01",0.451814053670451
"15",2010,"2010-01-01",0.456100461806149
"16",2011,"2011-01-01",0.465824578942811
"17",2012,"2012-01-01",0.476635679670899
